Cate,Name,Stat,Nd,Vd,Formula,A0,A1,A2,A3,A4,A5,0.54607,n_e,V_e,0.47999,n_F',0.64385,n_C',0.48613,n_F,0.65627,n_C,,,,,,,,,,,,,,
CDGM,H-ZF62,Pref,1.922866,20.882149,Schott,3.50E+00,-1.92E-02,5.37E-02,6.65E-03,-6.78E-04,8.33E-05,,1.933235,20.709,,1.9573711,,1.9123058,,1.954570275,,1.910375449,,,,,,,,,,,,,,
HIKARI,E-LASFH9,Obso,1.90265,35.699754,Schott,3.50E+00,-1.49E-02,3.85E-02,1.84E-03,-9.50E-05,1.04E-05,,1.908647,35.456,,1.9220084,,1.8963812,,1.920501549,,1.895216639,,,,,,,,,,,,,,
NIKON-HIKARI,E-LASFH9,Obso,1.90265,35.699754,Schott,3.50E+00,-1.49E-02,3.85E-02,1.84E-03,-9.50E-05,1.04E-05,,1.908647,35.456,,1.9220084,,1.8963812,,1.920501549,,1.895216639,,,,,,,,,,,,,,
CDGM,H-ZF72A,Pref,1.922867,18.895456,Schott,3.50E+00,-2.71E-02,4.77E-02,1.10E-02,-1.32E-03,1.34E-04,,1.934310,18.742,,1.9611176,,1.9112665,,1.957994017,,1.9091524,,,,,,,,,,,,,,
HOYA,MP-FDS1,Spec,1.92286,20.881416,Schott,3.50E+00,-1.69E-02,5.76E-02,5.17E-03,-4.00E-04,6.24E-05,,1.933233,20.710,,1.9573556,,1.9122946,,1.954558928,,1.910362824,,,,,,,,,,,,,,
HOYA,M-FDS1,Spec,1.92286,20.881416,Schott,3.50E+00,-1.69E-02,5.76E-02,5.17E-03,-4.00E-04,6.24E-05,,1.933233,20.710,,1.9573556,,1.9122946,,1.954558928,,1.910362824,,,,,,,,,,,,,,
NHG,H-ZF62,Stan,1.922862,20.886305,Schott,3.50E+00,-1.75E-02,6.00E-02,3.90E-03,-1.40E-04,4.42E-05,,1.933226,20.712,,1.9573680,,1.9123107,,1.954566998,,1.910381138,,,,,,,,,,,,,,
SUMITA,K-PSFN5,Stan,1.921104,22.426404,Schott,3.50E+00,-1.14E-02,5.91E-02,3.20E-03,-9.74E-05,3.27E-05,,1.930766,22.248,,1.9530631,,1.9112280,,1.950492388,,1.909419343,,,,,,,,,,,,,,
HOYA,TAFD37A,Pref,1.90043,37.372442,Schott,3.50E+00,-1.43E-02,3.78E-02,1.42E-03,-4.65E-05,6.92E-06,,1.906147,37.122,,1.9188505,,1.8944406,,1.917420085,,1.893326271,,,,,,,,,,,,,,
NHG,H-ZLAF78,Stan,1.900684,37.116053,Schott,3.50E+00,-1.34E-02,3.80E-02,1.56E-03,-7.43E-05,8.66E-06,,1.906444,36.868,,1.9192386,,1.8946526,,1.917798354,,1.893531268,,,,,,,,,,,,,,
OHARA,PBH21,Obso,1.922861,20.884172,Schott,3.49E+00,-1.18E-02,5.82E-02,5.20E-03,-3.67E-04,5.31E-05,,1.933249,20.719,,1.9573308,,1.9122876,,1.954547803,,1.910357475,,,,,,,,,,,,,,
HOYA,TAFD37,Stan,1.900433,37.370559,Schott,3.49E+00,-1.36E-02,3.88E-02,1.11E-03,-7.40E-06,5.30E-06,,1.906150,37.121,,1.9188529,,1.8944420,,1.917422067,,1.89332696,,,,,,,,,,,,,,
HOYA,FDS1,Obso,1.922859,20.883457,Schott,3.49E+00,-1.18E-02,5.84E-02,5.31E-03,-3.99E-04,5.45E-05,,1.933253,20.724,,1.9573006,,1.9122676,,1.954524777,,1.910333039,,,,,,,,,,,,,,
CDGM,H-ZLAF78B,Stan,1.900696,37.053564,Schott,3.49E+00,-1.33E-02,4.00E-02,8.23E-04,3.93E-05,2.87E-06,,1.906462,36.806,,1.9192816,,1.8946535,,1.917837011,,1.893528665,,,,,,,,,,,,,,
HOYA,TAFD25,Pref,1.903658,31.315013,Schott,3.49E+00,-1.63E-02,4.11E-02,2.72E-03,-1.83E-04,2.06E-05,,1.910484,31.080,,1.9258674,,1.8965727,,1.924119583,,1.895262069,,,,,,,,,,,,,,
NHG,H-ZLAF70,Stan,1.903664,31.315705,Schott,3.49E+00,-1.60E-02,4.28E-02,2.19E-03,-1.16E-04,1.79E-05,,1.910489,31.085,,1.9258621,,1.8965715,,1.924115104,,1.895258029,,,,,,,,,,,,,,
CDGM,H-ZLAF75A,Pref,1.903664,31.318289,Schott,3.49E+00,-1.50E-02,4.32E-02,2.11E-03,-1.00E-04,1.62E-05,,1.910490,31.088,,1.9258588,,1.8965715,,1.924113229,,1.895258538,,,,,,,,,,,,,,
HOYA,TAFD20,Obso,1.90315,29.835563,Schott,3.49E+00,-1.72E-02,4.08E-02,3.49E-03,-2.81E-04,2.87E-05,,1.910303,29.602,,1.9265012,,1.8957498,,1.924655418,,1.894383982,,,,,,,,,,,,,,
CDGM,H-ZLAF75B,Stan,1.903663,31.419748,Schott,3.48E+00,-1.33E-02,4.65E-02,1.01E-03,5.58E-05,7.97E-06,,1.910466,31.193,,1.9257729,,1.8965846,,1.924034026,,1.895272543,,,,,,,,,,,,,,
SUMITA,LASFN22,Stan,1.897993,34.014739,Schott,3.48E+00,-1.72E-02,3.77E-02,2.51E-03,-1.75E-04,1.62E-05,,1.904250,33.777,,1.9182400,,1.8914685,,1.916658457,,1.890257893,,,,,,,,,,,,,,
SUMITA,K-PSFN5(M),Stan,1.916432,22.385845,Schott,3.48E+00,-1.14E-02,5.81E-02,3.48E-03,-1.52E-04,3.63E-05,,1.926063,22.208,,1.9482876,,1.9065888,,1.945725263,,1.904786505,,,,,,,,,,,,,,
NHG,H-ZF72B,Stan,1.922857,18.899816,Schott,3.48E+00,-1.82E-02,6.44E-02,4.67E-03,-2.34E-04,6.38E-05,,1.934284,18.742,,1.9611253,,1.9112760,,1.957993259,,1.909163418,,,,,,,,,,,,,,
SUMITA,K-LASFN22,Stan,1.897996,34.00218,Schott,3.48E+00,-1.49E-02,4.02E-02,1.84E-03,-1.00E-04,1.43E-05,,1.904252,33.761,,1.9182538,,1.8914699,,1.916668921,,1.890258518,,,,,,,,,,,,,,
OHARA,PBH72,Obso,1.915356,21.171926,Schott,3.47E+00,-1.07E-02,5.83E-02,4.65E-03,-3.03E-04,4.82E-05,,1.925522,21.005,,1.9490606,,1.9049988,,1.94634223,,1.903106989,,,,,,,,,,,,,,
RPO,E-FDS1_MOLD,Stan,1.912658,20.647419,Schott,3.47E+00,-2.03E-02,5.34E-02,6.30E-03,-5.72E-04,7.35E-05,,1.923029,20.477,,1.9471787,,1.9021028,,1.944376564,,1.900173696,,,,,,,,,,,,,,
SUMITA,K-LASFN17,Stan,1.882989,40.785228,Schott,3.44E+00,-1.55E-02,3.37E-02,1.29E-03,-4.55E-05,3.87E-06,,1.888136,40.538,,1.8994787,,1.8775698,,1.898208107,,1.876558037,,,,,,,,,,,,,,
NHG,H-ZLAF68,Obso,1.883,40.805404,Schott,3.44E+00,-1.42E-02,3.44E-02,1.18E-03,-3.90E-05,3.74E-06,,1.888145,40.560,,1.8994778,,1.8775810,,1.898209074,,1.876569439,,,,,,,,,,,,,,
HOYA,TAFD30,Pref,1.883,40.805404,Schott,3.44E+00,-1.42E-02,3.44E-02,1.18E-03,-3.90E-05,3.74E-06,,1.888145,40.560,,1.8994778,,1.8775810,,1.898209074,,1.876569439,,,,,,,,,,,,,,
OHARA,LAH58,Obso,1.882997,40.778667,Schott,3.44E+00,-1.42E-02,3.47E-02,1.03E-03,-1.64E-05,2.87E-06,,1.888144,40.531,,1.8994889,,1.8775762,,1.898217856,,1.876564109,,,,,,,,,,,,,,
HIKARI,E-LASF08,Obso,1.882997,40.764336,Schott,3.44E+00,-1.40E-02,3.52E-02,8.93E-04,2.96E-06,1.83E-06,,1.888146,40.517,,1.8994938,,1.8775737,,1.898222337,,1.876560969,,,,,,,,,,,,,,
NIKON-HIKARI,E-LASF08,Obso,1.882997,40.764336,Schott,3.44E+00,-1.40E-02,3.52E-02,8.93E-04,2.96E-06,1.83E-06,,1.888146,40.517,,1.8994938,,1.8775737,,1.898222337,,1.876560969,,,,,,,,,,,,,,
SUMITA,K-PSFN1,Stan,1.906823,21.171419,Schott,3.44E+00,-1.58E-02,5.90E-02,3.56E-03,-1.26E-04,4.03E-05,,1.916880,21.002,,1.9402205,,1.8965634,,1.937518541,,1.894685347,,,,,,,,,,,,,,
NHG,H-ZLAF68A,Stan,1.882993,40.785419,Schott,3.44E+00,-1.28E-02,3.56E-02,7.19E-04,3.46E-05,-9.50E-08,,1.888138,40.529,,1.8994938,,1.8775801,,1.898220397,,1.876570333,,,,,,,,,,,,,,
SUMITA,K-VC91,Stan,1.886595,34.893096,Schott,3.44E+00,-1.46E-02,3.76E-02,2.17E-03,-1.64E-04,1.58E-05,,1.892621,34.658,,1.9060522,,1.8802971,,1.904536881,,1.879127575,,,,,,,,,,,,,,
CDGM,H-ZLAF68C,Pref,1.883001,40.867939,Schott,3.44E+00,-1.16E-02,3.71E-02,3.31E-04,7.34E-05,-1.36E-06,,1.888136,40.619,,1.8994557,,1.8775907,,1.898187006,,1.876580461,,,,,,,,,,,,,,
SUMITA,LASFN17,Stan,1.882997,40.946304,Schott,3.44E+00,-1.22E-02,3.83E-02,-7.35E-05,1.28E-04,-4.22E-06,,1.888123,40.711,,1.8993997,,1.8775842,,1.898136651,,1.876571556,,,,,,,,,,,,,,
CDGM,D-ZLAF67,Stan,1.88385,37.205485,Schott,3.44E+00,-1.43E-02,3.70E-02,1.31E-03,-2.84E-05,5.77E-06,,1.889486,36.954,,1.9020186,,1.8779483,,1.900606595,,1.876850288,,,,,,,,,,,,,,
CDGM,H-ZLAF68N,Stan,1.883001,39.225276,Schott,3.43E+00,-1.27E-02,3.80E-02,3.98E-04,8.03E-05,-6.07E-07,,1.888346,38.974,,1.9001761,,1.8773830,,1.898846248,,1.876334849,,,,,,,,,,,,,,
CDGM,H-ZLAF68B,Stan,1.883004,40.806875,Schott,3.43E+00,-1.06E-02,4.00E-02,-6.38E-04,2.16E-04,-8.50E-06,,1.888143,40.558,,1.8994818,,1.8775836,,1.898209109,,1.876570163,,,,,,,,,,,,,,
NHG,H-ZLAF67,Stan,1.881002,40.129704,Schott,3.43E+00,-1.31E-02,3.45E-02,1.34E-03,-7.38E-05,7.34E-06,,1.886219,39.876,,1.8977416,,1.8755173,,1.896449133,,1.874494925,,,,,,,,,,,,,,
HOYA,TAFD33,Pref,1.881003,40.138801,Schott,3.43E+00,-1.32E-02,3.56E-02,9.14E-04,-4.04E-06,3.39E-06,,1.886218,39.885,,1.8977382,,1.8755191,,1.896445287,,1.874496012,,,,,,,,,,,,,,
HOYA,MP-TAFD307,Pref,1.882023,37.221297,Schott,3.43E+00,-1.38E-02,3.74E-02,1.19E-03,-1.60E-05,5.18E-06,,1.887646,36.973,,1.9001396,,1.8761317,,1.898732464,,1.87503535,,,,,,,,,,,,,,
