Cate,Name,Stat,Nd,Vd,Formula,A0,A1,A2,A3,A4,A5,0.54607,n_e,V_e,0.47999,n_F',0.64385,n_C',0.48613,n_F,0.65627,n_C,,,,,,,,,,,,,,
NIKON-HIKARI,E-F16,Obso,1.592701,35.298957,Schott,2.47E+00,-1.01E-02,2.09E-02,9.96E-04,-4.78E-05,8.07E-06,,1.596672,35.025,,1.6055965,,1.5885608,,1.604583003,,1.587791824,,,,,,,,,,,,,,
HOYA,MP-BACD12,Pref,1.58313,59.460905,Schott,2.47E+00,-1.06E-02,1.33E-02,4.05E-04,-2.97E-05,1.83E-06,,1.585470,59.219,,1.5905014,,1.5806149,,1.589945212,,1.580138117,,,,,,,,,,,,,,
HOYA,MC-BACD12,Pref,1.58313,59.460905,Schott,2.47E+00,-1.06E-02,1.33E-02,4.05E-04,-2.97E-05,1.83E-06,,1.585470,59.219,,1.5905014,,1.5806149,,1.589945212,,1.580138117,,,,,,,,,,,,,,
HOYA,M-BACD12,Pref,1.58313,59.460905,Schott,2.47E+00,-1.06E-02,1.33E-02,4.05E-04,-2.97E-05,1.83E-06,,1.585470,59.219,,1.5905014,,1.5806149,,1.589945212,,1.580138117,,,,,,,,,,,,,,
NHG,D-ZK2,Obso,1.58313,59.460875,Schott,2.47E+00,-1.06E-02,1.33E-02,4.05E-04,-2.97E-05,1.83E-06,,1.585470,59.219,,1.5905013,,1.5806148,,1.58994509,,1.580137992,,,,,,,,,,,,,,
SUMITA,SK12,Stan,1.583131,59.339757,Schott,2.47E+00,-1.01E-02,1.31E-02,4.22E-04,-2.49E-05,1.32E-06,,1.585475,59.065,,1.5905326,,1.5806202,,1.589972452,,1.580145316,,,,,,,,,,,,,,
OHARA,BAL42,Obso,1.583126,59.373789,Schott,2.47E+00,-9.99E-03,1.31E-02,4.51E-04,-3.16E-05,1.73E-06,,1.585469,59.103,,1.5905215,,1.5806156,,1.589962156,,1.580140737,,,,,,,,,,,,,,
NHG,H-ZK2,Obso,1.583132,59.455983,Schott,2.47E+00,-1.02E-02,1.34E-02,3.29E-04,-1.22E-05,6.59E-07,,1.585471,59.190,,1.5905148,,1.5806233,,1.589956299,,1.580148357,,,,,,,,,,,,,,
CDGM,H-ZK2,Stan,1.583132,59.45598,Schott,2.47E+00,-1.02E-02,1.34E-02,3.29E-04,-1.22E-05,6.59E-07,,1.585471,59.190,,1.5905147,,1.5806233,,1.589956284,,1.580148342,,,,,,,,,,,,,,
CDGM,D-ZK2,Stan,1.583129,59.416316,Schott,2.47E+00,-1.04E-02,1.37E-02,2.55E-04,-4.78E-06,3.21E-07,,1.585470,59.173,,1.5905068,,1.5806125,,1.589949823,,1.580135384,,,,,,,,,,,,,,
SUMITA,LF2,Stan,1.58921,40.968002,Schott,2.47E+00,-8.43E-03,1.94E-02,4.85E-04,9.39E-06,1.45E-06,,1.592622,40.688,,1.6001889,,1.5856240,,1.599337476,,1.584955052,,,,,,,,,,,,,,
OHARA,PBL22,Obso,1.589206,41.07921,Schott,2.47E+00,-7.61E-03,2.02E-02,2.83E-04,3.09E-05,6.65E-07,,1.592610,40.803,,1.6001514,,1.5856275,,1.599302962,,1.58495955,,,,,,,,,,,,,,
HIKARI,E-SK12,Obso,1.58313,59.387186,Schott,2.47E+00,-8.66E-03,1.45E-02,7.94E-05,1.56E-05,-5.25E-07,,1.585472,59.124,,1.5905196,,1.5806172,,1.589960941,,1.580141672,,,,,,,,,,,,,,
NIKON-HIKARI,E-SK12,Obso,1.58313,59.387186,Schott,2.47E+00,-8.66E-03,1.45E-02,7.94E-05,1.56E-05,-5.25E-07,,1.585472,59.124,,1.5905196,,1.5806172,,1.589960941,,1.580141672,,,,,,,,,,,,,,
RPO,K-CSK120_MOLD,Stan,1.5833,59.191064,Schott,2.46E+00,-7.40E-03,1.81E-02,-1.02E-03,1.62E-04,-7.64E-06,,1.585649,58.982,,1.5906904,,1.5807611,,1.590132509,,1.580277836,,,,,,,,,,,,,,
SUMITA,BAF3,Stan,1.582667,46.4621,Schott,2.46E+00,-1.26E-02,1.30E-02,1.55E-03,-1.52E-04,9.01E-06,,1.585648,46.160,,1.5922098,,1.5795225,,1.591475023,,1.57893413,,,,,,,,,,,,,,
HIKARI,E-BALF4,Obso,1.57957,53.711462,Schott,2.46E+00,-1.41E-02,1.05E-02,1.54E-03,-1.69E-04,9.44E-06,,1.582139,53.419,,1.5877323,,1.5768348,,1.587110008,,1.576319407,,,,,,,,,,,,,,
NIKON-HIKARI,E-BALF4,Obso,1.57957,53.711462,Schott,2.46E+00,-1.41E-02,1.05E-02,1.54E-03,-1.69E-04,9.44E-06,,1.582139,53.419,,1.5877323,,1.5768348,,1.587110008,,1.576319407,,,,,,,,,,,,,,
LZOS,LZ_BF8,Stan,1.582703,46.397162,Schott,2.46E+00,-8.36E-03,1.61E-02,7.95E-04,-5.94E-05,4.56E-06,,1.585689,46.095,,1.5922591,,1.5795530,,1.591523512,,1.578964298,,,,,,,,,,,,,,
HOYA,BAF3,Obso,1.58267,46.462286,Schott,2.46E+00,-7.91E-03,1.58E-02,9.90E-04,-1.03E-04,7.31E-06,,1.585655,46.178,,1.5921997,,1.5795172,,1.591468764,,1.578927863,,,,,,,,,,,,,,
CDGM,H-BAF4,Stan,1.582672,46.606408,Schott,2.45E+00,-8.14E-03,1.80E-02,1.12E-04,3.87E-05,-3.18E-07,,1.585642,46.314,,1.5921743,,1.5795291,,1.591442059,,1.578939897,,,,,,,,,,,,,,
LZOS,LZ_BF7,Stan,1.579596,53.767545,Schott,2.45E+00,-9.01E-03,1.40E-02,6.46E-04,-5.56E-05,3.50E-06,,1.582165,53.478,,1.5877477,,1.5768616,,1.587127132,,1.57634731,,,,,,,,,,,,,,
CDGM,H-BAF3,Stan,1.579568,53.737216,Schott,2.45E+00,-8.62E-03,1.53E-02,1.83E-04,1.41E-05,-1.68E-07,,1.582136,53.451,,1.5877214,,1.5768303,,1.58709988,,1.576314494,,,,,,,,,,,,,,
HOYA,BAFL4,Obso,1.579572,53.705963,Schott,2.45E+00,-8.27E-03,1.51E-02,3.35E-04,-1.45E-05,1.56E-06,,1.582143,53.422,,1.5877294,,1.5768324,,1.587108384,,1.576316642,,,,,,,,,,,,,,
CDGM,BAF4,Obso,1.582712,46.505886,Schott,2.45E+00,-6.51E-03,1.94E-02,-3.06E-04,1.02E-04,-3.93E-06,,1.585689,46.207,,1.5922414,,1.5795661,,1.591506493,,1.578976427,,,,,,,,,,,,,,
HOYA,FL3,Obso,1.58215,42.028564,Schott,2.45E+00,-9.53E-03,1.74E-02,8.34E-04,-4.41E-05,4.15E-06,,1.585438,41.742,,1.5927195,,1.5786943,,1.591900867,,1.57804934,,,,,,,,,,,,,,
SUMITA,LF3,Stan,1.582151,42.030134,Schott,2.45E+00,-8.45E-03,1.89E-02,4.04E-04,9.09E-06,1.71E-06,,1.585439,41.755,,1.5927091,,1.5786882,,1.591892048,,1.578041023,,,,,,,,,,,,,,
HOYA,E-FL5,Stan,1.58144,40.890663,Schott,2.45E+00,-1.01E-02,1.78E-02,8.80E-04,-5.70E-05,6.09E-06,,1.584813,40.611,,1.5922949,,1.5778945,,1.591452123,,1.57723251,,,,,,,,,,,,,,
OHARA,PBL25,Obso,1.581439,40.753351,Schott,2.45E+00,-9.78E-03,1.75E-02,9.53E-04,-5.48E-05,4.73E-06,,1.584825,40.472,,1.5923351,,1.5778851,,1.591490013,,1.577222513,,,,,,,,,,,,,,
HIKARI,E-LF5,Obso,1.581439,40.738479,Schott,2.45E+00,-1.01E-02,1.84E-02,6.44E-04,-1.74E-05,3.78E-06,,1.584823,40.460,,1.5923348,,1.5778803,,1.591488263,,1.577215552,,,,,,,,,,,,,,
NIKON-HIKARI,E-LF5,Obso,1.581439,40.738479,Schott,2.45E+00,-1.01E-02,1.84E-02,6.44E-04,-1.74E-05,3.78E-06,,1.584823,40.460,,1.5923348,,1.5778803,,1.591488263,,1.577215552,,,,,,,,,,,,,,
SUMITA,LF5,Stan,1.581439,40.80227,Schott,2.44E+00,-8.77E-03,1.85E-02,6.82E-04,-2.35E-05,3.39E-06,,1.584821,40.526,,1.5923169,,1.5778862,,1.59147372,,1.577223314,,,,,,,,,,,,,,
NHG,H-QF50,Stan,1.581443,40.899788,Schott,2.44E+00,-9.10E-03,1.90E-02,5.45E-04,-1.44E-05,3.92E-06,,1.584815,40.628,,1.5922868,,1.5778926,,1.591445758,,1.577229254,,,,,,,,,,,,,,
HOYA,FL5,Obso,1.581437,40.887611,Schott,2.44E+00,-8.32E-03,1.90E-02,5.05E-04,3.66E-06,1.79E-06,,1.584811,40.610,,1.5922913,,1.5778907,,1.591449765,,1.57722917,,,,,,,,,,,,,,
CDGM,QF5,Obso,1.582153,42.039634,Schott,2.44E+00,-6.80E-03,2.14E-02,-3.85E-04,1.22E-04,-4.22E-06,,1.585438,41.768,,1.5927032,,1.5786868,,1.591886095,,1.578038159,,,,,,,,,,,,,,
CDGM,H-QF50A,Stan,1.581439,40.749269,Schott,2.44E+00,-9.19E-03,1.96E-02,2.77E-04,3.30E-05,1.34E-06,,1.584822,40.471,,1.5923310,,1.5778805,,1.591484224,,1.577215287,,,,,,,,,,,,,,
HIKARI,E-BAK1,Obso,1.5725,57.738955,Schott,2.44E+00,-1.61E-02,8.82E-03,1.45E-03,-1.36E-04,6.03E-06,,1.574861,57.449,,1.5799824,,1.5699760,,1.579413818,,1.56949835,,,,,,,,,,,,,,
NIKON-HIKARI,E-BAK1,Obso,1.5725,57.738955,Schott,2.44E+00,-1.61E-02,8.82E-03,1.45E-03,-1.36E-04,6.03E-06,,1.574861,57.449,,1.5799824,,1.5699760,,1.579413818,,1.56949835,,,,,,,,,,,,,,
CORNING,B81-41,Stan,1.581396,40.816116,Schott,2.44E+00,-8.23E-03,1.96E-02,3.34E-04,2.90E-05,4.22E-07,,1.584776,40.543,,1.5922658,,1.5778421,,1.591423123,,1.577178615,,,,,,,,,,,,,,
CDGM,QF50,Obso,1.581438,40.895946,Schott,2.44E+00,-7.76E-03,2.01E-02,1.57E-04,5.33E-05,-6.99E-07,,1.584811,40.619,,1.5922888,,1.5778915,,1.591447029,,1.577229294,,,,,,,,,,,,,,
HIKARI,LF7,Obso,1.57501,41.5364,Schott,2.44E+00,-2.00E-02,1.09E-02,2.34E-03,-2.20E-04,1.22E-05,,1.578292,41.266,,1.5855658,,1.5715520,,1.584747657,,1.570903913,,,,,,,,,,,,,,
NIKON-HIKARI,LF7,Obso,1.57501,41.5364,Schott,2.44E+00,-2.00E-02,1.09E-02,2.34E-03,-2.20E-04,1.22E-05,,1.578292,41.266,,1.5855658,,1.5715520,,1.584747657,,1.570903913,,,,,,,,,,,,,,
HOYA,BAC6,Obso,1.574441,56.357089,Schott,2.44E+00,-9.72E-03,1.35E-02,4.32E-04,-2.26E-05,1.48E-06,,1.576870,56.069,,1.5821366,,1.5718480,,1.581551664,,1.57135862,,,,,,,,,,,,,,
LZOS,LZ_LF9,Stan,1.580128,37.952693,Schott,2.44E+00,-1.01E-02,1.75E-02,1.50E-03,-1.53E-04,1.34E-05,,1.583750,37.673,,1.5918347,,1.5763397,,1.590920771,,1.575634948,,,,,,,,,,,,,,
HIKARI,LF5,Obso,1.58144,40.777871,Schott,2.44E+00,-5.12E-03,2.19E-02,-3.08E-04,1.18E-04,-4.41E-06,,1.584823,40.499,,1.5923259,,1.5778854,,1.591481422,,1.577222474,,,,,,,,,,,,,,
NIKON-HIKARI,LF5,Obso,1.58144,40.777871,Schott,2.44E+00,-5.12E-03,2.19E-02,-3.08E-04,1.18E-04,-4.41E-06,,1.584823,40.499,,1.5923259,,1.5778854,,1.591481422,,1.577222474,,,,,,,,,,,,,,
HOYA,FL4,Obso,1.578447,41.707529,Schott,2.44E+00,-9.80E-03,1.69E-02,1.06E-03,-8.86E-05,6.92E-06,,1.581742,41.437,,1.5890198,,1.5749806,,1.588202679,,1.574333318,,,,,,,,,,,,,,
HIKARI,BAF3,Obso,1.58267,46.476929,Schott,2.44E+00,1.61E-03,2.69E-02,-2.45E-03,3.97E-04,-1.97E-05,,1.585648,46.184,,1.5921976,,1.5795169,,1.591462859,,1.5789259,,,,,,,,,,,,,,
NIKON-HIKARI,BAF3,Obso,1.58267,46.476929,Schott,2.44E+00,1.61E-03,2.69E-02,-2.45E-03,3.97E-04,-1.97E-05,,1.585648,46.184,,1.5921976,,1.5795169,,1.591462859,,1.5789259,,,,,,,,,,,,,,
HIKARI,E-BAF3,Obso,1.58267,46.476921,Schott,2.44E+00,1.61E-03,2.69E-02,-2.45E-03,3.97E-04,-1.97E-05,,1.585648,46.184,,1.5921976,,1.5795169,,1.591462842,,1.578925881,,,,,,,,,,,,,,
NIKON-HIKARI,E-BAF3,Obso,1.58267,46.476921,Schott,2.44E+00,1.61E-03,2.69E-02,-2.45E-03,3.97E-04,-1.97E-05,,1.585648,46.184,,1.5921976,,1.5795169,,1.591462842,,1.578925881,,,,,,,,,,,,,,
LZOS,LZ_LF7,Stan,1.578416,41.04154,Schott,2.44E+00,-9.06E-03,1.72E-02,1.08E-03,-8.85E-05,7.04E-06,,1.581763,40.766,,1.5891707,,1.5749001,,1.588338241,,1.574244589,,,,,,,,,,,,,,
SUMITA,LF4,Stan,1.578451,41.711795,Schott,2.44E+00,-8.54E-03,1.87E-02,4.53E-04,6.65E-06,1.60E-06,,1.581743,41.435,,1.5890274,,1.5749874,,1.588208405,,1.574340369,,,,,,,,,,,,,,
LZOS,LZ_TK2,Stan,1.572482,57.325384,Schott,2.43E+00,-9.20E-03,1.24E-02,8.04E-04,-8.97E-05,5.20E-06,,1.574865,57.048,,1.5800129,,1.5699361,,1.579442993,,1.569456314,,,,,,,,,,,,,,
OHARA,BAL11,Obso,1.572501,57.760854,Schott,2.43E+00,-9.32E-03,1.40E-02,1.80E-04,7.76E-06,-1.18E-07,,1.574863,57.491,,1.5799693,,1.5699701,,1.579403095,,1.569491371,,,,,,,,,,,,,,
NHG,H-BAK8,Stan,1.572498,57.45189,Schott,2.43E+00,-8.83E-03,1.36E-02,3.61E-04,-1.80E-05,1.12E-06,,1.574874,57.169,,1.5800142,,1.5699584,,1.579444182,,1.569479211,,,,,,,,,,,,,,
SUMITA,BAK1,Stan,1.572498,57.486898,Schott,2.43E+00,-8.87E-03,1.38E-02,2.68E-04,-4.12E-06,4.83E-07,,1.574872,57.203,,1.5800098,,1.5699601,,1.579439832,,1.569480921,,,,,,,,,,,,,,
NHG,ZNSE,Obso,,,Schott,2.43E+00,5.77E-02,-3.11E-03,-2.49E-04,-2.76E-07,2.03E-10,,1.561257,-88.138,,1.5584085,,1.5647764,,1.558702152,,1.56519836,,,,,,,,,,,,,,
CDGM,H-BAK8,Stan,1.572499,57.520834,Schott,2.43E+00,-8.73E-03,1.39E-02,2.39E-04,1.03E-06,1.02E-07,,1.574872,57.236,,1.5800067,,1.5699628,,1.579437019,,1.569483969,,,,,,,,,,,,,,
HOYA,BAC1,Obso,1.572497,57.488684,Schott,2.43E+00,-8.30E-03,1.46E-02,1.54E-07,3.73E-05,-1.76E-06,,1.574870,57.197,,1.5800118,,1.5699610,,1.579440642,,1.569482057,,,,,,,,,,,,,,
CORNING,B72-57,Stan,1.572498,57.494511,Schott,2.43E+00,-8.35E-03,1.56E-02,-2.83E-04,7.20E-05,-3.45E-06,,1.574872,57.238,,1.5799952,,1.5699517,,1.579426951,,1.569469355,,,,,,,,,,,,,,
SUMITA,GFK70,Stan,1.569075,71.314722,Schott,2.43E+00,-6.35E-03,1.07E-02,3.76E-04,-2.61E-05,1.10E-06,,1.570979,70.894,,1.5750983,,1.5670443,,1.574641963,,1.566662078,,,,,,,,,,,,,,
LZOS,LZ_TK12,Stan,1.568875,62.675048,Schott,2.43E+00,-1.14E-02,1.04E-02,9.85E-04,-1.28E-04,7.26E-06,,1.571045,62.457,,1.5756799,,1.5665369,,1.57516981,,1.566093097,,,,,,,,,,,,,,
SUMITA,K-GFK70,Stan,1.569076,71.341207,Schott,2.43E+00,-5.76E-03,1.15E-02,1.32E-04,7.33E-06,-5.72E-07,,1.570979,70.926,,1.5750956,,1.5670453,,1.574639532,,1.566662584,,,,,,,,,,,,,,
HOYA,FL1,Obso,1.573091,42.586108,Schott,2.43E+00,-1.24E-02,1.27E-02,1.98E-03,-1.96E-04,1.12E-05,,1.576286,42.280,,1.5833729,,1.5697426,,1.582576673,,1.569119234,,,,,,,,,,,,,,
OHARA,BAL22,Obso,1.568729,63.162358,Schott,2.43E+00,-1.16E-02,1.11E-02,6.31E-04,-6.40E-05,3.44E-06,,1.570878,62.928,,1.5754831,,1.5664112,,1.57497515,,1.565970784,,,,,,,,,,,,,,
CDGM,H-ZPK7,Stan,1.56907,71.306648,Schott,2.43E+00,-5.41E-03,1.22E-02,-4.11E-05,2.64E-05,-1.25E-06,,1.570974,70.911,,1.5750863,,1.5670343,,1.574630865,,1.566650135,,,,,,,,,,,,,,
HOYA,FL57,Obso,1.576163,41.39334,Schott,2.43E+00,-8.00E-03,1.93E-02,2.54E-04,3.76E-05,-1.49E-07,,1.579467,41.117,,1.5867810,,1.5726880,,1.58595835,,1.572038892,,,,,,,,,,,,,,
HIKARI,E-LF7,Obso,1.575006,41.481733,Schott,2.43E+00,-1.02E-02,1.74E-02,7.82E-04,-4.23E-05,5.02E-06,,1.578294,41.199,,1.5855839,,1.5715473,,1.584762907,,1.570901013,,,,,,,,,,,,,,
NIKON-HIKARI,E-LF7,Obso,1.575006,41.481733,Schott,2.43E+00,-1.02E-02,1.74E-02,7.82E-04,-4.23E-05,5.02E-06,,1.578294,41.199,,1.5855839,,1.5715473,,1.584762907,,1.570901013,,,,,,,,,,,,,,
LZOS,LZ_LF5,Stan,1.575012,41.191712,Schott,2.43E+00,-9.11E-03,1.65E-02,1.26E-03,-1.21E-04,8.87E-06,,1.578329,40.920,,1.5856611,,1.5715279,,1.58483793,,1.570878283,,,,,,,,,,,,,,
HOYA,BAFL3,Obso,1.571348,52.982526,Schott,2.43E+00,-8.46E-03,1.41E-02,5.83E-04,-4.37E-05,2.80E-06,,1.573917,52.686,,1.5795109,,1.5686178,,1.57888858,,1.568104704,,,,,,,,,,,,,,
SUMITA,PSK2,Stan,1.568731,63.148478,Schott,2.43E+00,-1.09E-02,1.23E-02,2.34E-04,-7.95E-06,5.94E-07,,1.570880,62.923,,1.5754831,,1.5664103,,1.574975055,,1.56596867,,,,,,,,,,,,,,
CDGM,H-ZK1,Stan,1.568883,62.960665,Schott,2.43E+00,-1.08E-02,1.28E-02,9.25E-05,1.34E-05,-5.39E-07,,1.571039,62.736,,1.5756567,,1.5665544,,1.57514672,,1.566111057,,,,,,,,,,,,,,
SUMITA,BALF3,Stan,1.571351,52.946949,Schott,2.43E+00,-8.78E-03,1.45E-02,4.26E-04,-2.03E-05,1.70E-06,,1.573921,52.655,,1.5795162,,1.5686167,,1.578893343,,1.568102167,,,,,,,,,,,,,,
OHARA,PBL27,Obso,1.575006,41.491052,Schott,2.43E+00,-8.98E-03,1.76E-02,7.91E-04,-4.30E-05,4.25E-06,,1.578296,41.213,,1.5855786,,1.5715469,,1.584760156,,1.570901375,,,,,,,,,,,,,,
OHARA,BAL3,Obso,1.571351,52.968158,Schott,2.43E+00,-7.82E-03,1.48E-02,3.67E-04,-1.05E-05,1.04E-06,,1.573920,52.662,,1.5795212,,1.5686230,,1.578897338,,1.568110475,,,,,,,,,,,,,,
CDGM,H-QF3,Stan,1.575009,41.506694,Schott,2.43E+00,-8.62E-03,1.93E-02,2.10E-04,3.30E-05,1.51E-06,,1.578294,41.227,,1.5855761,,1.5715490,,1.584755536,,1.570901907,,,,,,,,,,,,,,
SUMITA,LF7,Stan,1.575009,41.305821,Schott,2.42E+00,-8.00E-03,1.89E-02,4.32E-04,8.18E-06,1.57E-06,,1.578314,41.031,,1.5856286,,1.5715340,,1.584806233,,1.57088522,,,,,,,,,,,,,,
CDGM,QF3,Obso,1.575026,41.29692,Schott,2.42E+00,-7.97E-03,1.91E-02,3.55E-04,1.39E-05,1.71E-06,,1.578331,41.025,,1.5856444,,1.5715474,,1.584821964,,1.57089755,,,,,,,,,,,,,,
NHG,QF3,Obso,1.575026,41.29692,Schott,2.42E+00,-7.97E-03,1.91E-02,3.55E-04,1.39E-05,1.71E-06,,1.578331,41.025,,1.5856444,,1.5715474,,1.584821964,,1.57089755,,,,,,,,,,,,,,
OHARA,BAL2,Obso,1.570989,50.797474,Schott,2.42E+00,-8.58E-03,1.47E-02,5.50E-04,-3.17E-05,2.42E-06,,1.573664,50.494,,1.5795140,,1.5681529,,1.578861278,,1.567620602,,,,,,,,,,,,,,
HOYA,PCD2,Obso,1.56873,63.105028,Schott,2.42E+00,-9.39E-03,1.41E-02,-2.55E-04,5.34E-05,-2.29E-06,,1.570881,62.899,,1.5754781,,1.5664019,,1.574970817,,1.565958254,,,,,,,,,,,,,,
OHARA,PBL21,Obso,1.573092,42.576094,Schott,2.42E+00,-9.49E-03,1.62E-02,1.01E-03,-7.27E-05,5.42E-06,,1.576288,42.286,,1.5833609,,1.5697325,,1.58256636,,1.569105729,,,,,,,,,,,,,,
HOYA,FL7,Obso,1.57501,41.509668,Schott,2.42E+00,-7.07E-03,1.98E-02,1.37E-04,4.33E-05,1.39E-08,,1.578299,41.239,,1.5855710,,1.5715478,,1.584753534,,1.570900862,,,,,,,,,,,,,,
LZOS,LZ_BK10,Stan,1.568883,55.848531,Schott,2.42E+00,-9.01E-03,1.24E-02,9.33E-04,-1.09E-04,6.35E-06,,1.571314,55.569,,1.5765729,,1.5662918,,1.575990312,,1.565803974,,,,,,,,,,,,,,
NHG,H-BAK7B,Stan,1.568823,55.985272,Schott,2.42E+00,-9.46E-03,1.34E-02,4.59E-04,-2.82E-05,1.71E-06,,1.571244,55.705,,1.5764918,,1.5662369,,1.57590934,,1.565748961,,,,,,,,,,,,,,
SUMITA,LF1,Stan,1.57309,42.684996,Schott,2.42E+00,-8.68E-03,1.74E-02,6.20E-04,-1.94E-05,2.78E-06,,1.576278,42.398,,1.5833290,,1.5697367,,1.58253664,,1.56911038,,,,,,,,,,,,,,
HIKARI,E-BAK4,Obso,1.568832,56.338294,Schott,2.42E+00,-9.35E-03,1.38E-02,2.92E-04,-5.78E-06,7.06E-07,,1.571238,56.059,,1.5764499,,1.5662601,,1.575871203,,1.565774328,,,,,,,,,,,,,,
NIKON-HIKARI,E-BAK4,Obso,1.568832,56.338294,Schott,2.42E+00,-9.35E-03,1.38E-02,2.92E-04,-5.78E-06,7.06E-07,,1.571238,56.059,,1.5764499,,1.5662601,,1.575871203,,1.565774328,,,,,,,,,,,,,,
SUMITA,BAK4,Stan,1.568832,56.061466,Schott,2.42E+00,-9.37E-03,1.37E-02,3.45E-04,-1.21E-05,9.24E-07,,1.571250,55.782,,1.5764893,,1.5662486,,1.575907633,,1.565760897,,,,,,,,,,,,,,
OHARA,BAL14,Obso,1.568832,56.339266,Schott,2.42E+00,-9.20E-03,1.37E-02,3.49E-04,-1.66E-05,1.31E-06,,1.571238,56.064,,1.5764480,,1.5662591,,1.575869964,,1.565773266,,,,,,,,,,,,,,
HOYA,BAFL2,Obso,1.570989,50.858935,Schott,2.42E+00,-7.22E-03,1.63E-02,7.29E-05,3.42E-05,-1.05E-06,,1.573661,50.561,,1.5794991,,1.5681532,,1.578847646,,1.567620555,,,,,,,,,,,,,,
CORNING,B69-56,Stan,1.568797,56.044859,Schott,2.42E+00,-9.09E-03,1.41E-02,2.29E-04,6.55E-06,-1.46E-07,,1.571215,55.762,,1.5764581,,1.5662142,,1.575875739,,1.565726619,,,,,,,,,,,,,,
SUMITA,K-GFK70(M),Stan,1.566276,71.326438,Schott,2.42E+00,-5.73E-03,1.14E-02,1.50E-04,3.81E-06,-3.27E-07,,1.568170,70.912,,1.5722663,,1.5642540,,1.571812423,,1.563873091,,,,,,,,,,,,,,
CDGM,H-BAK7A,Stan,1.568828,56.127804,Schott,2.42E+00,-9.07E-03,1.48E-02,-1.64E-05,3.77E-05,-1.56E-06,,1.571242,55.864,,1.5764671,,1.5662415,,1.575887016,,1.565752355,,,,,,,,,,,,,,
HOYA,BAC4,Stan,1.568829,56.044123,Schott,2.42E+00,-8.33E-03,1.54E-02,-1.74E-04,6.22E-05,-3.06E-06,,1.571247,55.775,,1.5764828,,1.5662408,,1.57590135,,1.56575153,,,,,,,,,,,,,,
NHG,H-BAK7,Obso,1.568829,56.044123,Schott,2.42E+00,-8.33E-03,1.54E-02,-1.74E-04,6.22E-05,-3.06E-06,,1.571247,55.775,,1.5764828,,1.5662408,,1.57590135,,1.56575153,,,,,,,,,,,,,,
HOYA,BAF2,Obso,1.56965,49.392725,Schott,2.42E+00,-8.26E-03,1.48E-02,6.39E-04,-3.94E-05,2.94E-06,,1.572393,49.076,,1.5784141,,1.5667507,,1.577741034,,1.566207773,,,,,,,,,,,,,,
CDGM,H-BAK7GT,Stan,1.568832,56.059608,Schott,2.42E+00,-7.63E-03,1.66E-02,-5.21E-04,1.06E-04,-4.86E-06,,1.571248,55.795,,1.5764799,,1.5662416,,1.575898377,,1.56575131,,,,,,,,,,,,,,
CDGM,H-BAK7,Pref,1.568832,56.059608,Schott,2.42E+00,-7.63E-03,1.66E-02,-5.21E-04,1.06E-04,-4.86E-06,,1.571248,55.795,,1.5764799,,1.5662416,,1.575898377,,1.56575131,,,,,,,,,,,,,,
CDGM,H-BAF2,Stan,1.569702,49.448232,Schott,2.42E+00,-8.23E-03,1.69E-02,-3.47E-05,5.15E-05,-1.33E-06,,1.572441,49.159,,1.5784374,,1.5667926,,1.577766808,,1.566245447,,,,,,,,,,,,,,
CDGM,BAF2,Obso,1.569703,49.435926,Schott,2.42E+00,-7.47E-03,1.69E-02,-1.30E-05,5.16E-05,-1.82E-06,,1.572444,49.140,,1.5784460,,1.5667968,,1.577775154,,1.566250895,,,,,,,,,,,,,,
SUMITA,P-SK11,Stan,1.565802,61.064216,Schott,2.42E+00,-9.19E-03,1.28E-02,2.29E-04,-1.67E-06,3.19E-07,,1.568011,60.776,,1.5727792,,1.5634332,,1.572250691,,1.562984869,,,,,,,,,,,,,,
SUMITA,K-PSK11,Stan,1.565802,61.074381,Schott,2.42E+00,-9.14E-03,1.29E-02,1.99E-04,2.80E-06,8.17E-08,,1.568011,60.786,,1.5727786,,1.5634341,,1.572250177,,1.562985887,,,,,,,,,,,,,,
HIKARI,BAK4,Obso,1.568829,56.049408,Schott,2.41E+00,-2.83E-03,1.68E-02,-8.95E-05,-1.35E-05,4.15E-06,,1.571252,55.784,,1.5764794,,1.5662389,,1.575900185,,1.565751325,,,,,,,,,,,,,,
NIKON-HIKARI,BAK4,Obso,1.568829,56.049408,Schott,2.41E+00,-2.83E-03,1.68E-02,-8.95E-05,-1.35E-05,4.15E-06,,1.571252,55.784,,1.5764794,,1.5662389,,1.575900185,,1.565751325,,,,,,,,,,,,,,
HOYA,ADF1,Obso,1.564997,52.958253,Schott,2.41E+00,-1.35E-02,1.22E-02,9.54E-04,-9.60E-05,5.39E-06,,1.567540,52.743,,1.5730294,,1.5622690,,1.572421246,,1.561752369,,,,,,,,,,,,,,
SUMITA,SK11,Stan,1.563838,60.765624,Schott,2.41E+00,-1.07E-02,1.16E-02,5.86E-04,-5.12E-05,2.66E-06,,1.566052,60.502,,1.5708176,,1.5614617,,1.570290572,,1.561011533,,,,,,,,,,,,,,
OHARA,BAL41,Obso,1.563839,60.695914,Schott,2.41E+00,-1.02E-02,1.23E-02,3.78E-04,-2.55E-05,1.46E-06,,1.566055,60.446,,1.5708203,,1.5614557,,1.570293493,,1.561003789,,,,,,,,,,,,,,
